,Planet Name,ID,FeatureName,FeatureType,Planetary Feature,Latitude of Center of Planetary Feature,Longitude of Center of Planetary Feature,Size of Planetary Feature(km)
1357,Mars,4574.0, Pandorae Fretum , albedo feature ,AL,-24.741878,44.0,0.0
1459,Mars,6596.0, Xanthe , albedo feature ,AL,9.884955,310.0,0.0
1168,Mars,2132.0, Gehon , albedo feature ,AL,14.831743,360.0,0.0
1462,Mars,6639.0, Yaonis Regio , albedo feature ,AL,-39.667248,40.0,0.0
1165,Mars,4213.0, Nereidum Fretum , albedo feature ,AL,-44.661768,305.0,0.0
1164,Mars,583.0, Baltia , albedo feature ,AL,59.706215,310.0,0.0
1466,Mars,6719.0, Zephyria , albedo feature ,AL,0.0,165.0,0.0
1159,Mars,388.0, Arnon , albedo feature ,AL,47.663413,25.0,0.0
1157,Mars,335.0, Arabia , albedo feature ,AL,19.783566,30.0,0.0
1156,Mars,312.0, Aonium Sinus , albedo feature ,AL,-44.661768,255.0,0.0
1174,Mars,825.0, Boreosyrtis , albedo feature ,AL,54.681522,70.0,0.0
1151,Mars,477.0, Aurorae Sinus , albedo feature ,AL,-14.831743,310.0,0.0
1144,Mars,65.0, Aeolis , albedo feature ,AL,-4.941605,145.0,0.0
1142,Mars,369.0, Argyre , albedo feature ,AL,-44.661768,335.0,0.0
1356,Mars,4572.0, Panchaia , albedo feature ,AL,59.706215,160.0,0.0
1136,Mars,4206.0, Nepenthes , albedo feature ,AL,19.783566,100.0,0.0
1132,Mars,72.0, Aethiopis , albedo feature ,AL,9.884955,130.0,0.0
1131,Mars,71.0, Aetheria , albedo feature ,AL,39.667248,130.0,0.0
1130,Mars,68.0, Aeria , albedo feature ,AL,9.884955,50.0,0.0
5696,Moon,4987.0, Reiner Gamma , albedo feature ,AL,7.385265,301.041663,73.441
1106,Mars,226.0, Amenthes , albedo feature ,AL,4.941605,110.0,0.0
1146,Mars,346.0, Arcadia , albedo feature ,AL,44.661768,260.0,0.0
765,Titan,7011.0, Fensal , albedo feature ,AL,5.0,330.0,0.0
1176,Mars,1362.0, Cyclopia , albedo feature ,AL,-4.941605,130.0,0.0
1182,Mars,998.0, Candor , albedo feature ,AL,2.964851,285.0,0.0
1216,Mars,1506.0, Deucalionis Regio , albedo feature ,AL,-14.831743,20.0,0.0
1215,Mars,1493.0, Depressio Hellespontica , albedo feature ,AL,-59.706215,20.0,0.0
1443,Mars,6218.0, Umbra , albedo feature ,AL,49.666565,70.0,0.0
1208,Mars,1779.0, Elysium , albedo feature ,AL,24.741878,150.0,0.0
1207,Mars,1300.0, Coprates , albedo feature ,AL,-14.831743,295.0,0.0
1206,Mars,1295.0, Copais Palus , albedo feature ,AL,54.681522,80.0,0.0
1204,Mars,1760.0, Electris , albedo feature ,AL,-44.661768,170.0,0.0
1201,Mars,1229.0, Claritas , albedo feature ,AL,-34.682806,250.0,0.0
1446,Mars,6259.0, Utopia , albedo feature ,AL,49.666565,110.0,0.0
1177,Mars,1364.0, Cydonia , albedo feature ,AL,39.667248,360.0,0.0
1198,Mars,1204.0, Chrysokeras , albedo feature ,AL,-49.666565,250.0,0.0
1194,Mars,1175.0, Chersonesus , albedo feature ,AL,-49.666565,100.0,0.0
1191,Mars,1122.0, Chalce , albedo feature ,AL,-49.666565,360.0,0.0
1190,Mars,1107.0, Cerberus , albedo feature ,AL,14.831743,155.0,0.0
1189,Mars,1096.0, Cecropia , albedo feature ,AL,59.706215,40.0,0.0
1188,Mars,1095.0, Cebrenia , albedo feature ,AL,49.666565,150.0,0.0
1452,Mars,6456.0, Vulcani Pelagus , albedo feature ,AL,-34.682806,345.0,0.0
247,Mercury,4647.0, Pentas , albedo feature ,AL,5.000122,50.000122,0.0
1184,Mars,1479.0, Deltoton Sinus , albedo feature ,AL,-3.9532,55.0,0.0
1183,Mars,1041.0, Casius , albedo feature ,AL,39.667248,100.0,0.0
1197,Mars,1202.0, Chryse , albedo feature ,AL,9.884955,330.0,0.0
1095,Mars,4198.0, Neith Regio , albedo feature ,AL,37.672283,88.0,0.0
816,Titan,6981.0, Aaru , albedo feature ,AL,10.0,20.0,0.0
837,Titan,6958.0, Xanadu , albedo feature ,AL,-15.0,260.0,3400.0
223,Mercury,327.0, Apollonia , albedo feature ,AL,45.000122,45.000122,0.0
224,Mercury,489.0, Australia , albedo feature ,AL,-72.5,0.000122,0.0
225,Mercury,474.0, Aurora , albedo feature ,AL,45.000122,270.000122,0.0
226,Mercury,822.0, Borea , albedo feature ,AL,75.000122,0.000122,0.0
227,Mercury,5640.0, Solitudo Phoenicis , albedo feature ,AL,25.000122,135.000122,0.0
228,Mercury,5641.0, Solitudo Promethei , albedo feature ,AL,-45.0,217.500122,0.0
258,Mercury,5633.0, Solitudo Horarum , albedo feature ,AL,25.000122,245.000122,0.0
257,Mercury,5632.0, Solitudo Hermae Trismegisti , albedo feature ,AL,-45.0,315.000122,0.0
256,Mercury,5631.0, Solitudo Helii , albedo feature ,AL,-10.0,180.000122,0.0
259,Mercury,5636.0, Solitudo Maiae , albedo feature ,AL,-15.0,205.000122,0.0
232,Mercury,6079.0, Tricrena , albedo feature ,AL,0.0,324.000122,0.0
234,Mercury,2489.0, Hesperis , albedo feature ,AL,-45.0,5.000122,0.0
255,Mercury,5630.0, Solitudo Criophori , albedo feature ,AL,0.0,130.000122,0.0
254,Mercury,5629.0, Solitudo Atlantis , albedo feature ,AL,-35.0,150.000122,0.0
253,Mercury,5628.0, Solitudo Aphrodites , albedo feature ,AL,25.000122,70.000122,0.0
252,Mercury,5627.0, Solitudo Alarum , albedo feature ,AL,-15.0,70.000122,0.0
241,Mercury,4725.0, Pieria , albedo feature ,AL,0.0,90.000122,0.0
242,Mercury,1368.0, Cyllene , albedo feature ,AL,-41.0,90.000122,0.0
243,Mercury,3399.0, Liguria , albedo feature ,AL,45.000122,135.000122,0.0
249,Mercury,5635.0, Solitudo Lycaonis , albedo feature ,AL,0.0,253.000122,0.0
233,Mercury,2425.0, Heliocaminus , albedo feature ,AL,40.000122,190.000122,0.0
